asn_notation,ccss_notation
R.CCR.1,CCSS.ELA-Literacy.CCRA.R.1
R.CCR.2,CCSS.ELA-Literacy.CCRA.R.2
R.CCR.3,CCSS.ELA-Literacy.CCRA.R.3
R.CCR.4,CCSS.ELA-Literacy.CCRA.R.4
R.CCR.5,CCSS.ELA-Literacy.CCRA.R.5
R.CCR.6,CCSS.ELA-Literacy.CCRA.R.6
R.CCR.7,CCSS.ELA-Literacy.CCRA.R.7
R.CCR.8,CCSS.ELA-Literacy.CCRA.R.8
R.CCR.9,CCSS.ELA-Literacy.CCRA.R.9
R.CCR.10,CCSS.ELA-Literacy.CCRA.R.10
W.CCR.1,CCSS.ELA-Literacy.CCRA.W.1
W.CCR.2,CCSS.ELA-Literacy.CCRA.W.2
W.CCR.3,CCSS.ELA-Literacy.CCRA.W.3
W.CCR.4,CCSS.ELA-Literacy.CCRA.W.4
W.CCR.5,CCSS.ELA-Literacy.CCRA.W.5
W.CCR.6,CCSS.ELA-Literacy.CCRA.W.6
W.CCR.7,CCSS.ELA-Literacy.CCRA.W.7
W.CCR.8,CCSS.ELA-Literacy.CCRA.W.8
W.CCR.9,CCSS.ELA-Literacy.CCRA.W.9
W.CCR.10,CCSS.ELA-Literacy.CCRA.W.10
SL.CCR.1,CCSS.ELA-Literacy.CCRA.SL.1
SL.CCR.2,CCSS.ELA-Literacy.CCRA.SL.2
SL.CCR.3,CCSS.ELA-Literacy.CCRA.SL.3
SL.CCR.4,CCSS.ELA-Literacy.CCRA.SL.4
SL.CCR.5,CCSS.ELA-Literacy.CCRA.SL.5
SL.CCR.6,CCSS.ELA-Literacy.CCRA.SL.6
L.CCR.1,CCSS.ELA-Literacy.CCRA.L.1
L.CCR.2,CCSS.ELA-Literacy.CCRA.L.2
L.CCR.3,CCSS.ELA-Literacy.CCRA.L.3
L.CCR.4,CCSS.ELA-Literacy.CCRA.L.4
L.CCR.5,CCSS.ELA-Literacy.CCRA.L.5
L.CCR.6,CCSS.ELA-Literacy.CCRA.L.6
